,open,high,low,close,volume,value
2024-07-28 09:00:00,829.0,829.0,825.2,825.4,1545639.00762557,1278447426.0053692
2024-07-28 09:05:00,825.3,826.3,821.9,823.9,2691047.74647532,2217522793.202925
2024-07-28 09:10:00,823.9,826.6,823.8,824.6,1242323.5697053,1025271784.0625381
2024-07-28 09:15:00,824.6,826.7,823.4,825.4,1004619.05341444,828865056.2809525
2024-07-28 09:20:00,825.2,828.3,824.5,828.3,619229.94704793,511762656.0153141
2024-07-28 09:25:00,828.3,831.4,828.1,831.3,1120467.99781012,929943648.3225527
2024-07-28 09:30:00,831.4,831.4,830.0,831.2,902521.18581712,749733319.8120245
2024-07-28 09:35:00,831.5,833.0,830.5,831.6,670162.77663928,557549628.2276342
2024-07-28 09:40:00,831.6,832.3,831.3,831.5,474690.24146573,394889793.43208915
2024-07-28 09:45:00,831.3,831.3,827.5,828.0,715722.56012852,593913191.144365
2024-07-28 09:50:00,828.0,829.1,827.9,828.8,383622.10866984,317866176.6629366
2024-07-28 09:55:00,828.7,831.9,828.7,830.1,605534.50366517,502822508.00896204
2024-07-28 10:00:00,830.1,830.2,828.9,829.0,314889.7363165,261214928.57683203
2024-07-28 10:05:00,829.0,831.0,828.7,830.9,334575.99905772,277524162.8248112
2024-07-28 10:10:00,830.9,832.0,830.2,832.0,319706.47672509,265740023.14469507
2024-07-28 10:15:00,832.0,832.0,830.5,830.6,359917.09540942,299170894.6471166
2024-07-28 10:20:00,830.8,832.6,830.6,832.5,672080.38104554,559138358.1945977
2024-07-28 10:25:00,832.4,832.6,832.2,832.3,291311.02487265,242513587.3179648
2024-07-28 10:30:00,832.3,832.7,831.7,832.7,288029.36816858,239707954.09751153
2024-07-28 10:35:00,832.6,833.2,832.3,832.4,598427.27440657,498343799.883375
2024-07-28 10:40:00,832.9,833.3,832.2,833.0,198018.43900005,164902589.8791838
2024-07-28 10:45:00,833.0,833.5,832.7,833.4,525970.58181287,438218457.25201005
2024-07-28 10:50:00,833.3,833.5,832.9,832.9,167532.83055195,139580389.86338875
2024-07-28 10:55:00,832.9,833.1,832.0,833.0,289218.19735109,240837172.30008882
2024-07-28 11:00:00,833.0,834.0,832.3,834.0,434410.87677862,361984025.70319444
2024-07-28 11:05:00,834.0,834.8,832.5,834.6,370268.06095412,308655839.31221944
2024-07-28 11:10:00,834.5,835.8,833.4,833.6,519847.38307204,434049823.7656328
2024-07-28 11:15:00,833.6,834.9,832.9,834.9,615917.2713619,513405933.2776487
2024-07-28 11:20:00,834.9,835.7,834.1,835.4,527886.02732696,440841875.27013534
2024-07-28 11:25:00,835.7,835.8,834.1,835.8,322448.32756107,269334936.0662255
2024-07-28 11:30:00,835.8,839.9,835.7,839.6,1538106.3214709,1288660073.20069
2024-07-28 11:35:00,839.7,840.0,837.7,838.4,1184984.12388247,994356440.9362395
2024-07-28 11:40:00,838.3,838.6,835.6,837.2,840836.61229126,704027293.9457041
2024-07-28 11:45:00,838.0,838.1,835.8,836.8,540252.22874102,452114879.8367258
2024-07-28 11:50:00,836.8,837.3,836.2,837.3,355327.11637429,297308610.2135826
2024-07-28 11:55:00,837.2,838.6,837.0,838.3,385402.36018232,322876323.14994514
2024-07-28 12:00:00,838.3,839.5,838.1,838.1,880995.71496741,739169261.566095
2024-07-28 12:05:00,838.7,838.7,836.2,838.7,648215.70403315,542961691.5287663
2024-07-28 12:10:00,838.7,839.7,837.6,838.0,560866.82944853,470586569.3690324
2024-07-28 12:15:00,838.0,838.7,836.5,838.3,496075.6332047,415525216.3757678
